StudentID,EventType,Timestamp,AdditionalInfo,Subject,Video
13,LectureOpened,2025-07-14 06:50:54.383000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Started video: CV_L2.mp4",Computer Vision,CV_L2.mp4
13,Play,2025-07-14 06:50:56.779000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",Computer Vision,CV_L2.mp4
13,Pause,2025-07-14 06:50:58.420000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Total pauses: 1",Computer Vision,CV_L2.mp4
13,Seeking,2025-07-14 06:50:59.707000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: To: 417.399126",Computer Vision,CV_L2.mp4
13,Seeked,2025-07-14 06:51:01.145000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: At: 417.399126",Computer Vision,CV_L2.mp4
13,Play,2025-07-14 06:51:03.463000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",Computer Vision,CV_L2.mp4
13,Pause,2025-07-14 06:51:11.531000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Total pauses: 2",Computer Vision,CV_L2.mp4
13,Seeking,2025-07-14 06:51:11.531000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: To: 1089.75015",Computer Vision,CV_L2.mp4
13,Play,2025-07-14 06:51:11.695000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",Computer Vision,CV_L2.mp4
13,Seeked,2025-07-14 06:51:13.284000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: At: 1089.75015",Computer Vision,CV_L2.mp4
13,TabSwitch,2025-07-14 06:51:15.648000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: User switched tabs",Computer Vision,CV_L2.mp4
13,Pause,2025-07-14 06:51:15.656000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Total pauses: 3",Computer Vision,CV_L2.mp4
13,Play,2025-07-14 06:51:21.351000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",Computer Vision,CV_L2.mp4
13,Pause,2025-07-14 06:51:24.803000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Total pauses: 4",Computer Vision,CV_L2.mp4
13,Seeking,2025-07-14 06:51:26.343000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: To: 2863.132383",Computer Vision,CV_L2.mp4
13,Seeked,2025-07-14 06:51:27.312000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: At: 2863.132383",Computer Vision,CV_L2.mp4
13,Play,2025-07-14 06:51:30.107000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",Computer Vision,CV_L2.mp4
13,TabSwitch,2025-07-14 06:51:33.816000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: User switched tabs",Computer Vision,CV_L2.mp4
13,Pause,2025-07-14 06:51:33.818000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Total pauses: 5",Computer Vision,CV_L2.mp4
13,LectureOpened,2025-07-14 06:51:55.781000+00:00,"Subject: Data Structures, Lecture: CNS_Lec_1.mp4, Info: Started video: CNS_Lec_1.mp4",Data Structures,CNS_Lec_1.mp4
13,Play,2025-07-14 06:51:59.165000+00:00,"Subject: Data Structures, Lecture: CNS_Lec_1.mp4, Info: ",Data Structures,CNS_Lec_1.mp4
13,Pause,2025-07-14 06:52:01.210000+00:00,"Subject: Data Structures, Lecture: CNS_Lec_1.mp4, Info: Total pauses: 6",Data Structures,CNS_Lec_1.mp4
13,Play,2025-07-14 06:52:04.353000+00:00,"Subject: Data Structures, Lecture: CNS_Lec_1.mp4, Info: ",Data Structures,CNS_Lec_1.mp4
13,LectureOpened,2025-07-14 06:52:06.317000+00:00,"Subject: Data Science, Lecture: Lec_1.mp4, Info: Started video: Lec_1.mp4",Data Science,Lec_1.mp4
13,LectureOpened,2025-07-14 06:52:08.373000+00:00,"Subject: Data Science, Lecture: CNS_Lec_2.mp4, Info: Started video: CNS_Lec_2.mp4",Data Science,CNS_Lec_2.mp4
13,Play,2025-07-14 06:52:09.774000+00:00,"Subject: Data Science, Lecture: CNS_Lec_2.mp4, Info: ",Data Science,CNS_Lec_2.mp4
13,LectureOpened,2025-07-14 06:52:11.061000+00:00,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: Started video: Lec_video.mp4",Computer Vision,Lec_video.mp4
13,LectureOpened,2025-07-14 06:52:13.708000+00:00,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: Started video: Lec_video.mp4",Computer Vision,Lec_video.mp4
13,LectureOpened,2025-07-14 06:52:15.021000+00:00,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: Started video: Lec_video.mp4",Computer Vision,Lec_video.mp4
13,LectureOpened,2025-07-14 06:52:18.221000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Started video: CV_L2.mp4",Computer Vision,CV_L2.mp4
13,Play,2025-07-14 06:52:20.062000+00:00,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",Computer Vision,CV_L2.mp4
13,LectureOpened,2025-07-14 06:52:25.661000+00:00,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: Started video: Lec_video.mp4",Computer Vision,Lec_video.mp4
13,LectureOpened,2025-07-14 06:52:29.213000+00:00,"Subject: Data Structures, Lecture: CNS_Lec_1.mp4, Info: Started video: CNS_Lec_1.mp4",Data Structures,CNS_Lec_1.mp4
