StudentID,EventType,Timestamp,AdditionalInfo,,
35,PageClosed,2025-07-14T15:33:42.091Z,"Subject: Cryptography and Network Security, Lecture: , Info: ",,
35,TabSwitch,2025-07-14T15:33:42.114Z,"Subject: Cryptography and Network Security, Lecture: , Info: ",,
35,LectureOpened,2025-07-14T15:33:58.355Z,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: Started video: Lec_video.mp4",,
35,Play,2025-07-14T15:34:14.280Z,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: ",,
35,QuizStarted,2025-07-14T15:34:23.517Z,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: ",,
35,QuizCompleted,2025-07-14T15:34:26.980Z,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: Score=null|Duration=3.463s",,
35,PageClosed,2025-07-14T15:34:34.412Z,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: ",,
35,TabSwitch,2025-07-14T15:34:34.475Z,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: ",,
35,Pause,2025-07-14T15:34:37.106Z,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: ",,
36,Login,2025-07-14T17:09:42.400968,Login Time: 2025-07-14 17:09:42.400968,,
36,Login,2025-07-14T17:11:34.704814,Login Time: 2025-07-14 17:11:34.704814,,
36,Login,2025-07-14T17:21:15.369584,Login Time: 2025-07-14 17:21:15.368343,,
26,Login,2025-07-16T08:47:43.920354,Login Time: 2025-07-16 08:47:43.919324,,
56,Login,2025-07-18T15:07:50.582491,Login Time: 2025-07-18 15:07:50.581488,,
56,Logout,2025-07-18T15:33:43.722007,Logout Time: 2025-07-18 15:33:43.721011,,
11,Tab Hidden,2025-07-26T15:29:16.254Z,"Subject: None, Lecture: None, Info: ",,
11,TabSwitch,2025-07-26T15:29:16.266Z,"Subject: None, Lecture: None, Info: User switched tab – video paused.",,
11,Login,2025-07-26T15:29:19.176456,Login Time: 2025-07-26 15:29:19.175325,,
11,Close,2025-07-26T15:29:21.381Z,"Subject: None, Lecture: None, Info: ",,
11,Login,2025-07-26T15:51:04.897831,Login Time: 2025-07-26 15:51:04.896812,,
44,Login,2025-07-26T16:07:28.861346,Login Time: 2025-07-26 16:07:28.860236,,
44,Login,2025-07-26T17:48:50.303850,Login Time: 2025-07-26 17:48:50.302853,,
44,Tab Hidden,2025-07-26T18:02:34.764Z,"Subject: None, Lecture: None, Info: ",,
44,TabSwitch,2025-07-26T18:02:34.827Z,"Subject: None, Lecture: None, Info: User switched tab – video paused.",,
44,Login,2025-07-26T18:02:39.109196,Login Time: 2025-07-26 18:02:39.108000,,
13,LectureOpened,2025-07-14T06:50:54.383Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Started video: CV_L2.mp4",,
13,Play,2025-07-14T06:50:56.779Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",,
13,Pause,2025-07-14T06:50:58.420Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Total pauses: 1",,
13,Seeking,2025-07-14T06:50:59.707Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: To: 417.399126",,
13,Seeked,2025-07-14T06:51:01.145Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: At: 417.399126",,
13,Play,2025-07-14T06:51:03.463Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",,
13,Pause,2025-07-14T06:51:11.531Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Total pauses: 2",,
13,Seeking,2025-07-14T06:51:11.531Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: To: 1089.75015",,
13,Play,2025-07-14T06:51:11.695Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",,
13,Seeked,2025-07-14T06:51:13.284Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: At: 1089.75015",,
13,TabSwitch,2025-07-14T06:51:15.648Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: User switched tabs",,
13,Pause,2025-07-14T06:51:15.656Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Total pauses: 3",,
13,Play,2025-07-14T06:51:21.351Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",,
13,Pause,2025-07-14T06:51:24.803Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Total pauses: 4",,
13,Seeking,2025-07-14T06:51:26.343Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: To: 2863.132383",,
13,Seeked,2025-07-14T06:51:27.312Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: At: 2863.132383",,
13,Play,2025-07-14T06:51:30.107Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: ",,
13,TabSwitch,2025-07-14T06:51:33.816Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: User switched tabs",,
13,Pause,2025-07-14T06:51:33.818Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Total pauses: 5",,
13,LectureOpened,2025-07-14T06:51:55.781Z,"Subject: Data Structures, Lecture: CNS_Lec_1.mp4, Info: Started video: CNS_Lec_1.mp4",,
13,Play,2025-07-14T06:51:59.165Z,"Subject: Data Structures, Lecture: CNS_Lec_1.mp4, Info: ",,
13,Pause,2025-07-14T06:52:01.210Z,"Subject: Data Structures, Lecture: CNS_Lec_1.mp4, Info: Total pauses: 6",,
13,Play,2025-07-14T06:52:04.353Z,"Subject: Data Structures, Lecture: CNS_Lec_1.mp4, Info: ",,
13,LectureOpened,2025-07-14T06:52:06.317Z,"Subject: Data Science, Lecture: Lec_1.mp4, Info: Started video: Lec_1.mp4",,
13,LectureOpened,2025-07-14T06:52:08.373Z,"Subject: Data Science, Lecture: CNS_Lec_2.mp4, Info: Started video: CNS_Lec_2.mp4",,
13,Play,2025-07-14T06:52:09.774Z,"Subject: Data Science, Lecture: CNS_Lec_2.mp4, Info: ",,
13,LectureOpened,2025-07-14T06:52:11.061Z,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: Started video: Lec_video.mp4",,
13,LectureOpened,2025-07-14T06:52:13.708Z,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: Started video: Lec_video.mp4",,
13,LectureOpened,2025-07-14T06:52:15.021Z,"Subject: Computer Vision, Lecture: Lec_video.mp4, Info: Started video: Lec_video.mp4",,
13,LectureOpened,2025-07-14T06:52:18.221Z,"Subject: Computer Vision, Lecture: CV_L2.mp4, Info: Started video: CV_L2.mp4",,
